iter	Passed	Remaining
405	5795	8478
406	5808	8462
407	5823	8450
408	5840	8439
409	5854	8425
410	5871	8413
411	5888	8404
412	5902	8389
413	5916	8373
414	5928	8356
415	5939	8338
416	5951	8321
417	5964	8304
418	5976	8287
419	5989	8271
420	6002	8255
421	6014	8237
422	6027	8221
423	6039	8204
424	6052	8188
425	6064	8171
426	6076	8154
427	6088	8136
428	6099	8117
429	6111	8100
430	6124	8085
431	6143	8077
432	6164	8072
433	6178	8057
434	6191	8042
435	6204	8025
436	6220	8014
437	6233	7998
438	6245	7981
439	6259	7966
440	6271	7950
441	6284	7933
442	6297	7918
443	6309	7901
444	6321	7884
445	6334	7868
446	6346	7851
447	6358	7835
448	6372	7819
449	6383	7802
450	6396	7787
451	6408	7770
452	6420	7753
453	6437	7741
454	6452	7728
455	6469	7717
456	6484	7704
457	6499	7690
458	6512	7675
459	6523	7658
460	6537	7643
461	6550	7627
462	6562	7611
463	6575	7595
464	6587	7579
465	6601	7564
466	6613	7548
467	6626	7533
468	6640	7518
469	6653	7503
470	6666	7486
471	6678	7470
472	6690	7454
473	6702	7437
474	6714	7421
475	6726	7404
476	6740	7390
477	6756	7378
478	6774	7367
479	6792	7358
480	6807	7345
481	6822	7331
482	6835	7316
483	6847	7299
484	6860	7284
485	6873	7269
486	6885	7252
487	6896	7236
488	6908	7219
489	6920	7202
490	6932	7186
491	6944	7169
492	6955	7152
493	6967	7136
494	6979	7120
495	6991	7104
496	7003	7087
497	7015	7071
498	7029	7057
499	7043	7043
500	7057	7029
501	7071	7015
502	7086	7001
503	7103	6991
504	7121	6980
505	7135	6966
506	7150	6952
507	7163	6937
508	7175	6921
509	7187	6905
510	7198	6888
511	7211	6873
512	7223	6857
513	7236	6842
514	7248	6825
515	7260	6810
516	7272	6794
517	7284	6778
518	7296	6761
519	7308	6745
520	7319	6729
521	7334	6716
522	7348	6702
523	7367	6693
524	7384	6681
525	7404	6672
526	7417	6657
527	7430	6642
528	7442	6626
529	7455	6611
530	7468	6596
531	7481	6581
532	7494	6566
533	7509	6552
534	7520	6536
535	7533	6521
536	7546	6506
537	7558	6490
538	7570	6475
539	7582	6459
540	7594	6443
541	7606	6427
542	7618	6411
543	7632	6397
544	7645	6383
545	7658	6368
546	7673	6354
547	7689	6342
548	7703	6328
549	7715	6312
550	7727	6297
551	7740	6281
552	7752	6266
553	7764	6251
554	7778	6236
555	7790	6221
556	7803	6206
557	7815	6190
558	7827	6174
559	7838	6159
560	7851	6144
561	7863	6128
562	7875	6112
563	7886	6096
564	7898	6081
565	7911	6066
566	7923	6050
567	7938	6037
568	7952	6024
569	7966	6009
570	7979	5995
571	7993	5980
572	8007	5966
573	8022	5953
574	8036	5940
575	8049	5925
576	8061	5909
577	8073	5894
578	8084	5878
579	8096	5862
580	8107	5847
581	8119	5831
582	8131	5816
583	8145	5802
584	8157	5786
585	8169	5771
586	8181	5756
587	8193	5740
588	8205	5725
589	8217	5710
590	8229	5694
591	8244	5682
592	8258	5668
593	8272	5653
594	8284	5639
595	8300	5626
596	8315	5613
597	8328	5598
598	8340	5583
599	8351	5567
600	8363	5552
601	8375	5537
602	8387	5522
603	8399	5506
604	8411	5492
605	8424	5477
606	8435	5461
607	8447	5446
608	8460	5431
609	8471	5416
610	8483	5401
611	8495	5386
612	8507	5370
613	8518	5355
614	8531	5340
615	8546	5327
616	8560	5313
617	8574	5299
618	8588	5286
619	8600	5271
620	8611	5255
621	8624	5240
622	8636	5225
623	8650	5212
624	8663	5198
625	8675	5183
626	8687	5168
627	8700	5153
628	8712	5139
629	8725	5124
630	8737	5109
631	8749	5094
632	8762	5080
633	8774	5065
634	8785	5050
635	8797	5034
636	8808	5019
637	8820	5004
638	8832	4989
639	8846	4975
640	8860	4962
641	8874	4948
642	8888	4935
643	8902	4921
644	8915	4906
645	8928	4892
646	8940	4877
647	8952	4862
648	8964	4848
649	8976	4833
