latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.35045,80.67868,329.37,0.59,0.7,2024-01-01,702,N,VIIRS,n,2,293.08,4.29,D,0
16.32129,80.63867,328.85,0.59,0.7,2024-01-01,702,N,VIIRS,n,2,291.98,3.02,D,0
16.35024,80.67608,332.77,0.59,0.7,2024-01-01,702,N,VIIRS,n,2,292.03,1.88,D,0
19.03435,82.60315,339.61,0.39,0.6,2024-01-01,702,N,VIIRS,n,2,292.98,3.91,D,0
19.03342,82.60198,343.44,0.39,0.6,2024-01-01,702,N,VIIRS,n,2,295.03,4.85,D,0
19.16607,84.53028,340.55,0.59,0.53,2024-01-01,702,N,VIIRS,n,2,300.69,6.43,D,0
18.95997,83.7952,328.76,0.33,0.55,2024-01-01,702,N,VIIRS,l,2,300.52,2.52,D,0
18.95727,83.79443,327.37,0.33,0.55,2024-01-01,702,N,VIIRS,n,2,300.79,2.07,D,0
18.90315,83.89149,367.0,0.33,0.55,2024-01-01,702,N,VIIRS,h,2,299.57,5.44,D,0
18.89814,83.89269,337.83,0.33,0.55,2024-01-01,702,N,VIIRS,n,2,298.94,5.44,D,0
19.87754,85.97382,331.16,0.46,0.47,2024-01-01,702,N,VIIRS,n,2,299.96,1.23,D,0
19.02803,82.07519,356.77,0.42,0.61,2024-01-01,702,N,VIIRS,n,2,298.1,6.27,D,0
18.77557,83.53876,350.06,0.35,0.56,2024-01-01,702,N,VIIRS,n,2,298.58,3.37,D,0
18.82113,83.86852,331.81,0.33,0.55,2024-01-01,702,N,VIIRS,n,2,300.98,1.96,D,0
18.70869,83.45004,329.7,0.35,0.57,2024-01-01,702,N,VIIRS,n,2,296.81,2.04,D,0
18.70938,83.45336,327.85,0.35,0.57,2024-01-01,702,N,VIIRS,n,2,299.34,2.87,D,0
18.74076,83.98029,340.18,0.32,0.55,2024-01-01,702,N,VIIRS,n,2,299.86,4.24,D,0
17.16963,79.99036,332.05,0.63,0.72,2024-01-01,702,N,VIIRS,n,2,294.54,3.68,D,0
18.24348,83.95551,333.71,0.33,0.56,2024-01-01,702,N,VIIRS,n,2,296.66,1.75,D,0
19.02615,82.07591,350.8,0.43,0.62,2024-01-01,702,N,VIIRS,n,2,297.72,4.58,D,0
22.22297,81.83772,334.66,0.38,0.59,2024-01-01,703,N,VIIRS,n,2,294.78,4.19,D,0
23.409,87.58514,325.54,0.49,0.41,2024-01-01,703,N,VIIRS,l,2,298.49,2.4,D,0
23.4127,87.58436,327.56,0.49,0.41,2024-01-01,703,N,VIIRS,n,2,297.18,3.3,D,0
23.59376,87.83781,336.73,0.48,0.4,2024-01-01,703,N,VIIRS,n,2,297.5,4.21,D,0
23.66252,87.97202,336.66,0.47,0.4,2024-01-01,703,N,VIIRS,n,2,297.72,4.53,D,0
23.66173,87.96743,326.79,0.47,0.4,2024-01-01,703,N,VIIRS,n,2,297.08,1.86,D,0
23.66013,87.95824,334.37,0.47,0.4,2024-01-01,703,N,VIIRS,n,2,297.22,3.71,D,0
23.66239,87.97346,327.89,0.47,0.4,2024-01-01,703,N,VIIRS,n,2,297.33,2.85,D,0
