latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.68805,78.85288,330.23,0.48,0.4,2025-02-27,812,N,VIIRS,n,2,299.57,3.05,D,0
18.68743,78.84827,346.76,0.47,0.4,2025-02-27,812,N,VIIRS,n,2,301.19,3.05,D,0
18.57219,78.0043,338.57,0.44,0.38,2025-02-27,812,N,VIIRS,n,2,309.34,2.5,D,0
18.69112,78.84784,336.14,0.47,0.4,2025-02-27,812,N,VIIRS,n,2,299.82,3.28,D,0
18.47383,77.27977,344.4,0.41,0.37,2025-02-27,812,N,VIIRS,n,2,319.3,4.74,D,0
18.22865,75.60975,344.99,0.38,0.36,2025-02-27,812,N,VIIRS,n,2,318.06,11.24,D,0
18.68574,78.78024,338.24,0.47,0.4,2025-02-27,812,N,VIIRS,n,2,309.25,4.19,D,0
18.66958,78.5794,334.4,0.46,0.39,2025-02-27,812,N,VIIRS,l,2,308.64,2.01,D,0
17.91728,73.46493,340.4,0.41,0.37,2025-02-27,812,N,VIIRS,n,2,310.31,2.72,D,0
19.14084,82.12274,337.37,0.49,0.49,2025-02-27,812,N,VIIRS,n,2,303.03,3.82,D,0
19.142,82.12384,338.43,0.5,0.49,2025-02-27,812,N,VIIRS,n,2,303.11,4.03,D,0
17.97922,73.5698,344.79,0.41,0.37,2025-02-27,812,N,VIIRS,n,2,312.57,4.1,D,0
17.98325,73.57305,338.15,0.41,0.37,2025-02-27,812,N,VIIRS,l,2,310.68,1.58,D,0
18.94874,80.11688,331.71,0.56,0.43,2025-02-27,812,N,VIIRS,l,2,303.8,5.55,D,0
18.95884,80.16471,341.92,0.56,0.43,2025-02-27,812,N,VIIRS,n,2,309.76,3.26,D,0
18.95269,80.11626,344.14,0.56,0.43,2025-02-27,812,N,VIIRS,n,2,305.4,5.55,D,0
19.14717,81.62473,341.59,0.46,0.47,2025-02-27,812,N,VIIRS,n,2,309.85,3.85,D,0
18.00389,73.50565,354.95,0.41,0.37,2025-02-27,812,N,VIIRS,n,2,310.02,7.25,D,0
18.00324,73.50167,350.64,0.41,0.37,2025-02-27,812,N,VIIRS,n,2,314.14,7.25,D,0
18.00729,73.50497,340.87,0.41,0.37,2025-02-27,812,N,VIIRS,n,2,306.38,3.72,D,0
18.68982,78.02501,334.94,0.44,0.38,2025-02-27,812,N,VIIRS,l,2,309.04,4.86,D,0
18.97236,80.11255,347.12,0.56,0.43,2025-02-27,812,N,VIIRS,n,2,303.6,21.15,D,0
18.97697,80.1171,346.93,0.56,0.43,2025-02-27,812,N,VIIRS,n,2,312.56,21.15,D,0
18.97631,80.11195,330.38,0.56,0.43,2025-02-27,812,N,VIIRS,l,2,301.82,21.15,D,0
19.32153,82.75064,332.3,0.55,0.51,2025-02-27,812,N,VIIRS,n,2,305.94,3.47,D,0
19.01436,80.15643,345.81,0.56,0.43,2025-02-27,812,N,VIIRS,n,2,305.79,5.72,D,0
18.78718,78.46521,343.07,0.46,0.39,2025-02-27,812,N,VIIRS,l,2,313.61,7.5,D,0
18.78492,78.46661,344.06,0.46,0.39,2025-02-27,812,N,VIIRS,n,2,314.46,7.54,D,0
19.01707,80.15882,344.27,0.56,0.43,2025-02-27,812,N,VIIRS,n,2,307.24,10.97,D,0
19.02101,80.15799,338.8,0.56,0.43,2025-02-27,812,N,VIIRS,n,2,304.94,7.03,D,0
19.02701,80.14129,331.67,0.56,0.43,2025-02-27,812,N,VIIRS,l,2,306.11,3.33,D,0
18.4343,75.76452,350.17,0.39,0.36,2025-02-27,812,N,VIIRS,n,2,319.7,8.79,D,0
18.43266,75.75362,342.37,0.39,0.36,2025-02-27,812,N,VIIRS,l,2,316.31,4.94,D,0
