latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.70537,82.9838,334.6,0.44,0.38,2025-04-01,752,N,VIIRS,l,2,306.58,3.38,D,0
18.62385,82.39838,335.87,0.42,0.37,2025-04-01,752,N,VIIRS,l,2,307.07,1.64,D,0
18.62052,82.37475,345.86,0.42,0.37,2025-04-01,752,N,VIIRS,n,2,308.97,6.98,D,0
18.90832,84.41302,338.55,0.51,0.41,2025-04-01,752,N,VIIRS,n,2,305.35,5.21,D,0
18.91077,84.40208,333.51,0.51,0.41,2025-04-01,752,N,VIIRS,l,2,305.87,6.5,D,0
18.66167,82.5416,334.42,0.42,0.38,2025-04-01,752,N,VIIRS,l,2,305.61,4.88,D,0
18.28879,80.00906,331.63,0.38,0.36,2025-04-01,752,N,VIIRS,l,2,304.71,1.61,D,0
18.66179,82.51731,338.65,0.42,0.38,2025-04-01,752,N,VIIRS,n,2,307.4,2.74,D,0
18.76481,83.23117,338.81,0.45,0.39,2025-04-01,752,N,VIIRS,n,2,305.39,4.03,D,0
18.37885,80.55549,342.41,0.38,0.36,2025-04-01,752,N,VIIRS,n,2,311.0,3.0,D,0
18.30924,80.00933,331.73,0.38,0.36,2025-04-01,752,N,VIIRS,l,2,306.27,3.12,D,0
18.33695,80.0791,332.41,0.38,0.36,2025-04-01,752,N,VIIRS,l,2,306.87,1.89,D,0
18.69446,82.50964,336.38,0.42,0.38,2025-04-01,752,N,VIIRS,l,2,309.9,3.63,D,0
18.78275,83.05077,330.35,0.44,0.38,2025-04-01,752,N,VIIRS,l,2,303.6,1.76,D,0
18.87125,83.68605,332.87,0.47,0.4,2025-04-01,752,N,VIIRS,n,2,304.99,1.32,D,0
18.7961,83.12277,346.29,0.44,0.39,2025-04-01,752,N,VIIRS,n,2,309.85,25.47,D,0
18.7955,83.11833,347.99,0.44,0.39,2025-04-01,752,N,VIIRS,n,2,316.06,27.1,D,0
18.79964,83.12214,342.61,0.44,0.39,2025-04-01,752,N,VIIRS,n,2,306.22,28.8,D,0
18.79842,83.11306,343.15,0.44,0.39,2025-04-01,752,N,VIIRS,n,2,304.91,11.01,D,0
18.38705,80.25323,342.32,0.38,0.36,2025-04-01,752,N,VIIRS,n,2,306.92,6.14,D,0
