latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
17.74046,95.04393,342.33,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,312.2,8.45,D
17.73974,95.03999,340.48,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,311.22,5.72,D
17.74093,94.99911,349.05,0.43,0.46,2026-02-14,635,N,nominal,2.0NRT,312.73,5.09,D
17.74024,94.99535,343.24,0.43,0.46,2026-02-14,635,N,nominal,2.0NRT,309.15,5.09,D
17.79984,95.03233,341.51,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,313.79,4.28,D
17.81647,95.02915,344.21,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,309.51,5.18,D
17.8269,95.0156,335.33,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,305.88,4.67,D
17.85328,95.04224,342.03,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,308.71,5.63,D
17.91982,95.30151,340.61,0.4,0.45,2026-02-14,635,N,nominal,2.0NRT,313.35,4.25,D
17.90183,95.11373,337.87,0.42,0.45,2026-02-14,635,N,low,2.0NRT,309.78,4.35,D
17.90596,95.11295,342.76,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,307.45,4.35,D
17.9307,95.10802,350.97,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,312.59,8.26,D
17.92926,95.10022,340.91,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,310.32,3.35,D
17.92496,95.07693,330.65,0.42,0.45,2026-02-14,635,N,low,2.0NRT,305.36,0.78,D
18.08246,95.89682,334.61,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,305.97,3.0,D
17.94038,95.11419,352.3,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,306.76,6.1,D
17.94976,95.07201,331.83,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,305.04,1.34,D
18.05033,95.55761,333.5,0.39,0.44,2026-02-14,635,N,nominal,2.0NRT,306.96,4.1,D
18.04968,95.55395,347.63,0.39,0.44,2026-02-14,635,N,nominal,2.0NRT,306.21,3.62,D
18.05434,95.55682,341.58,0.39,0.44,2026-02-14,635,N,nominal,2.0NRT,308.49,4.1,D
18.05368,95.55316,343.9,0.39,0.44,2026-02-14,635,N,nominal,2.0NRT,307.18,3.62,D
17.97544,95.11913,336.97,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,309.75,5.5,D
17.97474,95.11525,334.93,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,305.72,2.34,D
18.04782,95.49725,337.95,0.39,0.44,2026-02-14,635,N,low,2.0NRT,312.58,4.23,D
18.12352,95.89966,334.47,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,308.13,4.84,D
18.05184,95.49646,344.18,0.39,0.44,2026-02-14,635,N,nominal,2.0NRT,311.09,4.23,D
18.05118,95.49277,339.31,0.39,0.44,2026-02-14,635,N,low,2.0NRT,311.93,4.33,D
17.99403,95.12762,339.12,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,308.47,5.31,D
18.12465,95.84244,336.99,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,310.73,4.87,D
17.99626,95.12729,337.54,0.41,0.45,2026-02-14,635,N,low,2.0NRT,307.6,4.41,D
18.3027,96.72218,342.88,0.5,0.41,2026-02-14,635,N,nominal,2.0NRT,311.89,5.43,D
18.30643,96.72146,347.31,0.5,0.41,2026-02-14,635,N,nominal,2.0NRT,313.24,5.43,D
18.14639,95.80528,338.95,0.56,0.43,2026-02-14,635,N,low,2.0NRT,311.95,6.08,D
18.04134,95.09421,349.22,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,307.89,5.89,D
18.04477,95.08964,338.28,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,307.82,5.89,D
18.04406,95.08575,334.93,0.42,0.45,2026-02-14,635,N,low,2.0NRT,306.75,1.93,D
18.06901,95.12881,345.55,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,308.84,8.3,D
18.10976,95.25986,348.99,0.4,0.45,2026-02-14,635,N,nominal,2.0NRT,311.19,5.51,D
18.32722,96.44106,335.87,0.52,0.41,2026-02-14,635,N,nominal,2.0NRT,306.24,2.12,D
18.08185,95.01147,331.27,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,302.11,3.91,D
18.08294,95.01139,334.48,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,303.14,3.55,D
18.11365,95.08399,341.56,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,308.79,3.8,D
18.16475,95.1299,340.69,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,308.37,1.76,D
18.3379,95.90729,335.14,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,304.08,2.47,D
18.45654,96.5624,343.88,0.51,0.41,2026-02-14,635,N,nominal,2.0NRT,312.91,4.46,D
18.4698,96.59428,337.47,0.5,0.41,2026-02-14,635,N,nominal,2.0NRT,312.28,4.38,D
18.4699,96.59207,340.0,0.5,0.41,2026-02-14,635,N,nominal,2.0NRT,311.52,5.16,D
18.52812,96.78986,333.01,0.49,0.4,2026-02-14,635,N,low,2.0NRT,303.45,7.89,D
18.5207,96.66056,341.25,0.5,0.41,2026-02-14,635,N,low,2.0NRT,313.73,11.91,D
18.5533,96.73683,332.6,0.5,0.41,2026-02-14,635,N,nominal,2.0NRT,305.17,3.22,D
18.4215,95.90121,340.33,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,306.87,7.1,D
18.4525,95.8941,338.82,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,306.38,5.42,D
18.45734,95.8987,339.53,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,305.72,8.09,D
18.46423,95.89207,331.93,0.55,0.43,2026-02-14,635,N,low,2.0NRT,305.09,2.99,D
18.45248,95.89656,336.57,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,305.24,6.98,D
18.45638,95.89584,339.65,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,306.5,6.98,D
18.32758,95.20083,331.32,0.4,0.45,2026-02-14,635,N,nominal,2.0NRT,305.82,1.04,D
18.46419,95.89443,331.11,0.55,0.43,2026-02-14,635,N,low,2.0NRT,305.1,6.23,D
18.33092,95.03704,341.43,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,305.95,2.9,D
18.50362,95.79951,345.56,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,312.09,4.98,D
18.50659,95.79352,336.84,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,309.81,4.98,D
18.50374,95.77759,347.75,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,309.59,7.03,D
18.37857,95.08762,337.06,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,305.41,2.66,D
18.38338,95.09066,334.3,0.41,0.45,2026-02-14,635,N,low,2.0NRT,305.26,5.08,D
18.38267,95.0868,356.47,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,305.59,5.08,D
18.38748,95.08987,332.08,0.41,0.45,2026-02-14,635,N,low,2.0NRT,302.79,5.08,D
18.51849,95.76931,338.8,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,311.51,4.5,D
18.36267,94.9077,344.17,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,303.56,6.2,D
18.54209,95.8792,334.65,0.55,0.43,2026-02-14,635,N,low,2.0NRT,309.53,9.31,D
18.54114,95.87384,334.37,0.55,0.43,2026-02-14,635,N,low,2.0NRT,306.87,9.31,D
18.53831,95.8579,341.16,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,310.44,19.4,D
18.3668,94.90681,336.44,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,302.73,3.93,D
18.54315,95.8624,345.24,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,307.22,11.17,D
18.53611,95.77713,333.38,0.56,0.43,2026-02-14,635,N,low,2.0NRT,307.33,4.94,D
18.54004,95.77641,352.79,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,314.48,12.57,D
18.54398,95.77579,348.11,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,308.64,12.57,D
18.54297,95.77003,353.96,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,310.14,10.95,D
18.53894,95.79542,332.98,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,306.26,2.1,D
18.53515,95.77483,339.58,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,308.07,6.63,D
18.54008,95.77956,334.03,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,306.36,9.25,D
18.53905,95.77396,337.27,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,311.94,6.63,D
18.54403,95.77898,331.21,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,305.15,2.37,D
18.54299,95.77328,349.25,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,311.41,8.23,D
18.54197,95.76779,338.85,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,308.87,8.23,D
18.58951,95.85077,341.49,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,308.23,7.0,D
18.58855,95.84548,341.3,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,307.4,7.0,D
18.58759,95.84018,343.01,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,308.6,9.64,D
18.44573,95.02212,340.55,0.41,0.45,2026-02-14,635,N,nominal,2.0NRT,307.16,2.64,D
18.60519,95.82579,333.71,0.55,0.43,2026-02-14,635,N,low,2.0NRT,306.57,3.09,D
